"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","49","28","28","1","23.338852","0","28"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","49","52","52","1","59.540985","0","52"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","49","52","52","1","58.850864","0","52"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","49","52","52","1","60.558910","0","52"
"/Interchange/Materials/UnlitMaterial.UnlitMaterial","49","4","4","1","2.878675","0","4"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","49","12","12","1","8.244654","0","12"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","49","5","5","1","3.786810","0","5"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","49","28","28","1","24.395502","0","28"
"/Engine/VREditor/TransformGizmo/Xray.Xray","49","14","14","1","11.816293","0","14"
"/Engine/VREditor/TransformGizmo/Main.Main","49","5","5","1","3.704406","0","5"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","49","5","5","1","3.844871","0","5"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","49","880","900","1","684.586060","0","900"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","49","139","139","1","118.248291","0","139"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","49","93","93","1","77.316872","0","93"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","49","10","10","1","6.861045","0","10"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","49","53","53","1","57.778339","0","53"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","49","58","39","6","41.539188","0","245"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","49","30","31","1","23.680098","0","31"
"/Interchange/Materials/PhongSurfaceMaterial.PhongSurfaceMaterial","49","14","14","1","12.348371","0","14"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","49","145","145","1","111.939590","0","145"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","49","6","6","1","3.926518","0","6"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","49","6","6","1","3.876167","0","6"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","49","0","4","1","0.000000","0","0"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","49","0","18","1","0.000000","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","49","0","50","2","0.000000","0","0"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","49","0","9","1","0.000000","0","0"
"/ControlRig/M_Manip.M_Manip","49","0","9","1","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","49","0","62","1","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","49","0","88","1","0.000000","0","0"
"/Interchange/Materials/LambertSurfaceMaterial.LambertSurfaceMaterial","49","14","2","1","14.926622","0","40"
"/Interchange/Materials/ThinTranslucentMaterial.ThinTranslucentMaterial","49","24","2","1","61.855762","0","321"
"/Interchange/Materials/SubsurfaceMaterial.SubsurfaceMaterial","49","14","1","1","11.353570","0","118"
"/Interchange/Materials/OrenNayerMaterial.OrenNayerMaterial","49","15","5","1","14.718225","0","137"
"/Interchange/gltf/M_Unlit.M_Unlit","49","36","2","2","25.042156","0","303"
"/Interchange/Materials/SheenMaterial.SheenMaterial","49","14","1","1","12.166265","0","114"
"/Interchange/Materials/PBRSurfaceMaterial.PBRSurfaceMaterial","49","14","1","1","11.912465","0","111"
"/Interchange/Materials/ClearCoatMaterial.ClearCoatMaterial","49","14","1","1","12.753395","0","107"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","49","4","2","1","3.108133","0","11"
"/Game/Error303/Materials/plastic_MAT.plastic_MAT","49","14","1","1","12.039481","0","103"
"/Game/Error303/Materials/wood01_MAT.wood01_MAT","49","14","1","1","11.147993","0","75"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","49","4","1","1","2.932792","0","13"
"/Interchange/gltf/M_Transmission.M_Transmission","49","108","4","4","290.449646","0","649"
"/Interchange/gltf/M_Sheen.M_Sheen","49","120","5","4","97.568138","0","946"
"/Game/Error303/Blue_Prints/WireFrame.WireFrame","49","30","1","1","24.268984","0","212"
"/Interchange/gltf/M_Translucent.M_Translucent","49","200","9","8","495.510162","0","1352"
"/Interchange/gltf/M_Opaque.M_Opaque","49","240","12","8","191.553528","0","1691"
